,token,word,frequency,n_generate
0,28,=,305497,182
1,1,"""",23790,145
2,7003,Although,5478,124
3,14291,Following,5244,123
4,3633,While,4945,122
5,1212,This,3281,116
6,8332,Despite,3204,116
7,14945,Several,2137,110
8,23792,Upon,1850,108
9,7571,Two,1818,108
10,6395,Other,1781,107
11,6610,Another,1686,107
12,4864,However,1549,105
13,8128,Because,1310,103
14,10294,Meanwhile,1251,102
15,26797,Throughout,1177,102
16,20457,Early,1129,101
17,25262,Between,1109,101
18,30513,Shortly,1023,100
19,18602,Later,1002,99
20,42855,Credits,976,99
21,7,(,961,99
22,7454,Once,736,95
23,19156,Robert,735,95
24,14698,Having,711,94
25,18521,Unlike,700,94
26,10871,Each,697,94
27,22005,Within,696,94
28,45198,Beginning,618,92
29,24472,Around,600,92
30,2990,They,553,91
31,7583,Also,548,91
32,7437,American,546,90
33,40443,Initially,545,90
34,36687,Construction,512,90
35,22731,Originally,510,89
36,18273,Until,501,89
37,22245,Richard,499,89
38,36623,Critics,491,89
39,58,[,487,89
40,5962,First,479,89
41,35027,Production,453,88
42,43982,Edward,450,88
43,33874,Writing,438,87
44,25378,Johnson,429,87
45,17013,United,414,86
46,61,^,408,86
47,8888,Today,408,86
48,1169,the,408,86
49,10049,Only,395,86
50,15046,Through,389,86
51,43401,Route,376,85
52,40009,Various,375,85
53,7416,Source,372,85
54,2061,What,372,85
55,22851,Starting,371,85
56,986,...,365,85
57,14574,Their,327,83
58,15001,Based,317,83
59,17699,Additional,311,82
60,27429,Australia,293,81
61,23937,Besides,292,81
62,30815,Outside,276,81
63,41017,Virginia,274,81
64,27640,Digital,272,80
65,12562,SR,268,80
66,41206,Development,268,80
67,14126,Chapter,265,80
68,39182,Apart,263,80
69,32602,Aside,262,80
70,32180,Operation,260,80
71,46230,Arsenal,256,80
72,19206,Steve,250,79
73,9,*,250,79
74,23379,Almost,241,79
75,24761,Brian,241,79
76,18495,Women,241,79
77,16350,Overall,228,78
78,23216,Additionally,226,78
79,11158,Finally,219,77
80,29011,Nevertheless,210,77
81,12814,Using,207,77
82,44232,Liverpool,207,77
83,960,—,204,76
84,33912,†,195,76
85,36235,Alan,194,76
86,8061,People,189,75
87,45037,Released,188,75
88,23865,Kevin,188,75
89,39163,England,185,75
90,43568,Elizabeth,182,75
91,15056,Given,182,75
92,392,and,181,75
93,27996,Series,181,75
94,28702,Director,179,74
95,24860,Players,178,74
96,43525,Located,178,74
97,40744,Manchester,178,74
98,33253,Miller,177,74
99,24243,Initial,176,74
100,40610,Michigan,175,74
101,28724,Eventually,174,74
102,6999,2012,172,74
103,19093,Thus,170,74
104,21607,Texas,168,74
105,45431,Grant,167,73
106,29907,Taylor,163,73
107,35475,Simon,162,73
108,38509,Bruce,162,73
109,38025,Christopher,158,73
110,49998,Murray,157,73
111,26497,Jason,156,72
112,25784,Jones,156,72
113,14906,Article,155,72
114,45533,Notable,154,72
115,37776,Ian,154,72
116,48942,Thompson,154,72
117,24094,Family,152,72
118,32273,Performance,149,72
119,34379,Writer,149,72
120,40553,Across,148,72
121,40541,Maximum,148,72
122,35784,Prince,147,72
123,28447,Justice,145,71
124,45405,Hamilton,144,71
125,25354,Written,144,71
126,35314,Andy,143,71
127,12726,2007,143,71
128,9627,Those,141,71
129,18357,Being,139,71
130,13193,Instead,137,71
131,22030,European,137,71
132,32718,Patrick,137,71
133,10531,2009,137,71
134,43227,Anne,137,71
135,46868,Keith,136,70
136,48615,Saint,136,70
137,24819,Side,136,70
138,16177,Service,136,70
139,37603,Nine,135,70
140,47462,Adams,135,70
141,28039,Similarly,135,70
142,29284,Sarah,135,70
143,38036,Australian,135,70
144,30365,Jonathan,134,70
145,37039,Batman,134,70
146,32697,Anthony,133,70
147,21868,Ryan,133,70
148,36462,Davis,133,70
149,27079,Germany,127,70
150,39424,Regarding,127,70
151,49640,Billy,126,69
152,42991,Anderson,125,69
153,47073,Gordon,124,69
154,41631,Together,124,69
155,31135,Florida,124,69
156,13710,Perhaps,123,69
157,28008,Single,123,69
158,18517,October,122,69
159,39582,Built,121,69
160,11528,2008,120,69
161,21106,Below,119,69
162,32434,Howard,119,69
163,27270,Neither,117,68
164,47230,Scotland,115,68
165,23106,Height,115,68
166,21188,Sources,114,68
167,16678,Such,112,68
168,13887,Speaking,112,68
169,21327,Currently,111,68
170,40613,Empty,111,68
171,46785,Evidence,111,68
172,31715,Volume,109,67
173,39950,Walker,109,67
174,25324,Japanese,108,67
175,44203,Lisa,108,67
176,49374,Elsewhere,108,67
177,41501,Studio,107,67
178,26556,Taking,106,67
179,33820,Gary,106,67
180,34831,Kelly,106,67
181,13330,2006,105,67
182,16371,Very,104,67
183,23604,Chinese,104,67
184,6390,2013,104,67
185,45833,Studies,103,67
186,37136,Charlie,103,67
187,49898,Victoria,103,67
188,41072,Georgia,103,67
189,46172,Pope,101,66
190,21159,November,101,66
191,28572,France,100,66
192,38856,Thirty,100,66
193,4967,2014,99,66
194,14315,2005,99,66
195,43464,Warren,99,66
196,42817,Todd,99,66
197,28768,Running,98,66
198,21569,India,98,66
199,37058,Generally,96,65
200,16249,Without,96,65
201,10526,UB,96,65
202,17940,Canada,94,65
203,26446,Recent,94,65
204,27212,Ultimately,94,65
205,43584,Spanish,94,65
206,27927,Nearly,94,65
207,42995,Adult,94,65
208,28203,Canadian,92,65
209,27404,Going,91,65
210,44669,Compared,90,65
211,37837,Military,90,65
212,48494,Whereas,89,64
213,46827,Maria,89,64
214,21009,University,89,64
215,15354,Whether,89,64
216,24035,Alongside,88,64
217,46325,Russell,87,64
218,43885,Executive,87,64
219,15039,UK,87,64
220,27202,Rather,87,64
221,16088,2003,86,64
222,43069,Flight,86,64
223,37114,Britain,85,64
224,28239,Students,85,64
225,40335,Jimmy,85,64
226,44960,Johnny,85,64
227,24623,League,84,64
228,24951,Furthermore,84,64
229,39276,Against,84,64
230,35443,Political,83,63
231,41053,Chelsea,83,63
232,45638,Technical,83,63
233,38667,Combat,83,63
234,17257,Range,82,63
235,29870,Known,82,63
236,48736,Michelle,82,63
237,17543,September,82,63
238,44484,Alice,82,63
239,42315,Mario,82,63
240,44974,Ancient,81,63
241,14585,2001,81,63
242,1640,for,81,63
243,40277,Actor,81,63
244,40408,Soviet,80,63
245,25031,Professor,80,63
246,15724,2004,80,63
247,48032,Management,80,63
248,32348,Nintendo,80,63
249,36372,Dean,79,63
250,21113,1998,78,63
251,16157,July,78,63
252,32397,Above,77,62
253,29193,Scientists,77,62
254,43462,Jerry,76,62
255,16942,2002,76,62
256,46807,Tyler,75,62
257,25599,Others,74,62
258,27273,Female,74,62
259,49177,Alabama,74,62
260,45821,Graham,74,62
261,48056,Winner,74,62
262,4626,2015,73,62
263,11486,Yet,73,62
264,16549,Clinton,73,62
265,47572,Sullivan,73,62
266,16220,Russian,72,61
267,13689,Earlier,72,61
268,42516,Kyle,72,61
269,40495,Northern,71,61
270,37844,Reports,71,61
271,38864,Marvel,71,61
272,30804,Coming,71,61
273,4758,which,71,61
274,28529,Official,70,61
275,47598,Crash,70,61
276,40630,Years,70,61
277,34451,Aaron,70,61
278,31272,Native,70,61
279,45001,Italy,70,61
280,18946,1999,70,61
281,45696,Italian,70,61
282,46375,Fighting,69,61
283,36530,Playing,68,61
284,27894,Regardless,68,61
285,43258,Nonetheless,68,61
286,25284,California,68,61
287,26408,Sean,67,60
288,37338,Disney,67,60
289,23808,Josh,67,60
290,26829,Children,67,60
291,42184,Romney,67,60
292,34007,Seattle,67,60
293,9039,Police,66,60
294,21339,January,66,60
295,49153,Indiana,66,60
296,43187,Jennifer,65,60
297,30730,Luke,65,60
298,33229,Justin,65,60
299,18465,Nothing,65,60
300,11209,Windows,65,60
301,45355,Spain,64,60
302,14202,None,64,60
303,21816,February,64,60
304,33622,Moving,64,60
305,45478,Danny,64,60
306,38747,Universal,64,60
307,49095,Flying,63,60
308,28516,Working,63,60
309,27730,Examples,63,60
310,8241,Who,63,60
311,23874,Making,63,60
312,28903,Los,63,60
313,21498,1997,63,60
314,42481,Guest,63,60
315,15784,Looking,62,59
316,45186,Iowa,62,59
317,48902,Assistant,62,59
318,42670,Parts,61,59
319,35623,Jeremy,61,59
320,16347,Russia,61,59
321,16784,April,60,59
322,49958,Carter,60,59
323,37447,Already,59,59
324,24259,Details,59,59
325,26959,Science,59,59
326,20588,December,59,59
327,15948,Obama,59,59
328,25606,Researchers,58,58
329,35170,Primary,58,58
330,36422,Phoenix,58,58
331,31710,Boston,58,58
332,37288,Often,58,58
333,49022,Latin,57,58
334,24465,1993,57,58
335,31632,Turkey,57,58
336,43964,Growing,56,58
337,21918,Information,56,58
338,26709,1988,56,58
339,48011,Square,56,58
340,42347,Residents,55,58
341,25954,Building,55,58
342,37893,Ali,54,57
343,44196,Standing,54,57
344,15468,Sometimes,54,57
345,14095,−,54,57
346,25475,1989,54,57
347,46602,Pokémon,54,57
348,43687,Laura,53,57
349,22288,1996,53,57
350,33387,Houston,53,57
351,24492,Published,53,57
352,48640,Emily,53,57
353,31359,Toronto,53,57
354,48346,Statistics,52,57
355,49321,Typically,52,57
356,32184,Rate,52,57
357,21875,Whatever,52,57
358,22666,1994,52,57
359,38150,Hundreds,51,57
360,29998,NASA,51,57
361,36837,Previously,51,57
362,28296,1984,51,57
363,14,/,51,57
364,3843,UT,51,57
365,21908,1995,50,56
366,28219,Jesus,49,56
367,13898,Unfortunately,49,56
368,45670,Minnesota,49,56
369,24661,Recently,49,56
370,20035,Unknown,49,56
371,24606,Moreover,48,56
372,29511,Judge,48,56
373,28054,1986,48,56
374,44059,Greek,48,56
375,29774,Senator,48,56
376,38770,Days,48,56
377,35645,Phase,48,56
378,28886,DNA,48,56
379,35110,Marcus,48,56
380,38541,Secretary,47,55
381,90,{,47,55
382,21756,Background,47,55
383,36910,Pierre,47,55
384,43930,Jake,47,55
385,43752,Crystal,46,55
386,41156,Depending,46,55
387,27034,Mrs.,46,55
388,38885,Freedom,46,55
389,29110,1985,46,55
390,36120,Reading,46,55
391,15905,Microsoft,45,55
392,29238,Changes,45,55
393,48337,Jamie,45,55
394,40710,Points,45,55
395,40002,Animal,45,55
396,24529,1991,45,55
397,44163,Alternatively,45,55
398,46109,Eastern,44,54
399,26788,Money,44,54
400,23758,Episode,44,54
401,23847,1992,44,54
402,49097,Wisconsin,44,54
403,49752,Ireland,43,54
404,35411,1981,43,54
405,45467,Brandon,43,54
406,49645,Collins,43,54
407,47740,Joshua,43,54
408,41183,Education,43,54
409,18122,History,43,54
410,36674,Sample,43,54
411,30650,Books,42,54
412,36314,Seeing,42,54
413,25883,Officials,42,54
414,43093,Opening,42,54
415,30763,1982,41,53
416,49717,Dutch,41,53
417,33581,1979,41,53
418,19844,Saturday,41,53
419,45872,Likewise,41,53
420,3581,•,41,53
421,26583,Therefore,41,53
422,41243,Oregon,41,53
423,38077,Alpha,41,53
424,37649,Climate,40,53
425,45572,Jessica,40,53
426,49818,Denver,40,53
427,36276,Finding,40,53
428,43032,African,40,53
429,17066,Mobile,40,53
430,1906,–,40,53
431,48452,Attempts,39,53
